Key,Korean(ko),English(en),French(fr),Russian(ru),German(de)
Sg6_BlindSpot_4,그래서 차가 돌거나 움직이기 시작하면 정말 위험할 수 있어.,So if the car starts spinning or moving it can be really dangerous.,"Donc, si la voiture commence à tourner ou à bouger, cela peut être très dangereux.","Поэтому, если автомобиль начнет вращаться или двигаться, это может быть действительно опасно.","Wenn das Auto also anfängt, sich zu drehen oder zu bewegen, kann das wirklich gefährlich sein."
Sg6_BlindSpot_5,"여기서 보면,너도 차 안에 있는 사람 얼굴이 안 보이지?","If you look here, can't you see the face of the person inside the car?","Si vous regardez ici, ne voyez-vous pas le visage de la personne à l'intérieur de la voiture ?","Если вы посмотрите сюда, разве вы не видите лицо человека внутри машины?","Wenn Sie hier hinschauen, können Sie nicht das Gesicht der Person im Auto sehen?"
Sg6_BlindSpot_6,차에 있는 사람도 마찬가지야. 너도 안 보일 수 있어.,The same goes for people in cars. You might not be visible either.,Il en va de même pour les personnes en voiture. Vous pourriez ne pas être visible non plus.,То же самое касается людей в машинах. Вас тоже могут не увидеть.,Das Gleiche gilt für Personen in Autos. Auch Sie sind möglicherweise nicht sichtbar.
Sg6_BlindSpot_7,우린 그런 자리를 ‘사각지대’라고 해. 그래서 이런 곳에선 더 조심해야 해.,We call those places ‘blind spots.’ That’s why we have to be more careful in these places.,Nous appelons ces endroits des « angles morts ». C’est pourquoi nous devons être plus prudents dans ces endroits.,Мы называем такие места «слепыми зонами». Вот почему нам следует быть в таких местах более осторожными.,Wir nennen diese Stellen „tote Winkel“. Deshalb müssen wir an diesen Stellen vorsichtiger sein.
Sg6_BlindSpot_8,"저기 친구가 있는 위치 저긴 차에 가려서,안에서 전혀 볼 수 없어.","There's a car blocking the location of my friend, so I can't see him at all from inside.","Il y a une voiture qui bloque l'emplacement de mon ami, donc je ne peux pas le voir du tout de l'intérieur.","Машина загораживает местонахождение моего друга, поэтому я вообще не могу его видеть изнутри.","Ein Auto versperrt den Blick auf meinen Freund, sodass ich ihn von innen überhaupt nicht sehen kann."
Sg6_BlindSpot_9,차가 조금만 더 갔으면 부딪힐 뻔했어! 엄청 위험하지?,"If the car had gone a little further, we almost crashed! Isn't that incredibly dangerous?","Si la voiture avait continué un peu plus loin, on aurait failli avoir un accident ! N'est-ce pas incroyablement dangereux ?","Если бы машина проехала немного дальше, мы бы чуть не разбились! Разве это не невероятно опасно?","Wäre das Auto noch ein Stück weiter gefahren, wären wir fast abgestürzt! Ist das nicht unglaublich gefährlich?"
Sg6_BlindSpot_10,그래서 우리는 운전자 시야에 안보이는 사각지대엔 절대 서 있으면 안 되는 거야.,That's why we should never stand in the blind spot of the driver's view.,C'est pourquoi nous ne devrions jamais nous tenir dans l'angle mort du conducteur.,Вот почему мы никогда не должны находиться в слепой зоне обзора водителя.,Deshalb sollten wir uns nie im toten Winkel des Fahrers aufhalten.
Sg6_BlindSpot_11,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?","Bon, alors, voyons ce qu’il faut faire maintenant ?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
Sg6_BlindSpot_12,"봐봐,이 친구는 차 뒤가 아니라,운전자가 잘 볼 수 있는 위치로 이동하지?","Look, this guy, instead of moving to the back of the car, why don't you move to a position where the driver can see you?","Écoute, ce type, au lieu de se déplacer vers l'arrière de la voiture, pourquoi ne te déplaces-tu pas vers une position où le conducteur peut te voir ?","Послушай, этот парень, вместо того, чтобы переходить в заднюю часть машины, почему бы тебе не переместиться туда, где водитель сможет тебя видеть?","Schauen Sie, dieser Typ, anstatt nach hinten im Auto zu gehen, warum gehen Sie nicht an eine Position, wo der Fahrer Sie sehen kann?"
Sg6_BlindSpot_13,시동이 걸린 차량 근처를 지나갈 때는 항상 운전자에게 잘 보이는 위치로 이동해야 해.,"When passing a running vehicle, always move to a position where the driver can see you.","Lorsque vous dépassez un véhicule en marche, déplacez-vous toujours vers une position où le conducteur peut vous voir.","При обгоне движущегося транспортного средства всегда занимайте такое положение, чтобы водитель мог вас видеть.","Gehen Sie beim Überholen eines fahrenden Fahrzeugs immer so vor, dass der Fahrer Sie sehen kann."
Sg6_BlindSpot_14,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg6_BlindSpot_15,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg7_Carprediction_1,"지금처럼,안 보이는 쪽에서도 차가 나올 수 있어.","Just like now, cars can come out from the side you can't see.","Tout comme maintenant, les voitures peuvent sortir du côté que vous ne pouvez pas voir.","Так же, как и сейчас, автомобили могут выехать с той стороны, которую вы не видите.","Genau wie jetzt können Autos von der Seite kommen, die Sie nicht sehen können."
Sg7_Carprediction_2,"그래서 골목이나 안보이는 곳에서 나서기 전엔,꼭 한 번 더 확인해야 해.","So before you go out into an alley or somewhere out of sight, you should definitely check once more.","Alors, avant de sortir dans une ruelle ou dans un endroit hors de vue, vous devriez absolument vérifier une fois de plus.","Поэтому прежде чем идти в переулок или куда-то, где вас никто не видит, обязательно проверьте еще раз.","Bevor Sie also in eine Gasse oder an einen uneinsehbaren Ort gehen, sollten Sie unbedingt noch einmal nachsehen."
Sg7_Carprediction_3,"이렇게 벽이나 차에 가려진 곳에선,차가 와도 우리가 미리 볼 수가 없어.","In places like this where we are blocked by walls or cars, we can't see a car coming in advance.","Dans des endroits comme celui-ci où nous sommes bloqués par des murs ou des voitures, nous ne pouvons pas voir une voiture arriver à l'avance.","В таких местах, где нас блокируют стены или машины, мы не можем увидеть приближающуюся машину заранее.","An Orten wie diesen, wo wir durch Mauern oder Autos blockiert sind, können wir ein kommendes Auto nicht im Voraus sehen."
Sg7_Carprediction_4,"혹시 차를 인식 하더라도,‘지금은 괜찮겠지’ 하고 그냥 움직이면 더 위험해질 수 있어.","Even if you recognize the car, if you think, ‘It’s okay now,’ and just move on, it can be more dangerous.","Même si vous reconnaissez la voiture, si vous pensez : « C’est bon maintenant » et que vous continuez, cela peut être plus dangereux.","Даже если вы узнали машину, но думаете: «Теперь все в порядке» и просто едете дальше, это может быть опаснее.","Selbst wenn Sie das Auto erkennen, kann es gefährlicher sein, wenn Sie denken: „Jetzt ist alles in Ordnung“ und einfach weiterfahren."
Sg7_Carprediction_5,"그래서 차가 나를 못 봐도,내가 먼저 보는 습관을 가지면 훨씬 더 안전해져.","So, if I get into the habit of looking at cars first, even if they can't see me, I'll be much safer.","Donc, si je prends l’habitude de regarder d’abord les voitures, même si elles ne peuvent pas me voir, je serai beaucoup plus en sécurité.","Поэтому, если я возьму в привычку сначала смотреть на машины, даже если они меня не видят, я буду в гораздо большей безопасности.","Wenn ich mir also angewöhne, zuerst auf die Autos zu schauen, auch wenn sie mich nicht sehen können, bin ich viel sicherer."
Sg7_Carprediction_6,"어라,저 친구… 주변을 안 보고 그냥 가고 있어.","Hey, that guy… He’s just walking without looking around.","Hé, ce type… Il marche sans regarder autour de lui.","Эй, этот парень... Он просто идет, не оглядываясь.","Hey, dieser Typ … Er läuft einfach herum, ohne sich umzuschauen."
Sg7_Carprediction_7,"방금처럼 서로 못 보면,진짜 큰일 날 수도 있어.","If we can't see each other like we did just now, we could be in real trouble.","Si nous ne pouvons pas nous voir comme nous l'avons fait tout à l'heure, nous pourrions avoir de sérieux problèmes.","Если мы не сможем видеться друг с другом, как сейчас, у нас могут возникнуть серьезные проблемы.","Wenn wir uns nicht mehr so sehen können wie gerade, könnten wir in echte Schwierigkeiten geraten."
Sg7_Carprediction_8,"앞이 안 보이는 길에선,꼭 멈춰서 확인하고 움직여야 해.","On a road where you can't see ahead, you must stop, check, and then move.","Sur une route où vous ne pouvez pas voir devant vous, vous devez vous arrêter, vérifier, puis avancer.","На дороге, где вы не можете видеть вперед, вам следует остановиться, проверить обстановку, а затем двигаться дальше.","Auf einer Straße, auf der Sie nicht voraussehen können, müssen Sie anhalten, prüfen und dann weiterfahren."
Sg7_Carprediction_9,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?","Bon, alors, voyons ce qu’il faut faire maintenant ?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
Sg7_Carprediction_10,"봐봐,이 친구는 그냥 나가지 않고 먼저 멈춰서 좌우를 확인했지?","Look, this guy didn't just go out, he stopped first and looked left and right?","Regardez, ce type n'est pas simplement sorti, il s'est d'abord arrêté et a regardé à gauche et à droite ?","Смотрите, этот парень не просто вышел, он сначала остановился и посмотрел налево и направо?","Sehen Sie, dieser Typ ist nicht einfach rausgegangen, er ist erst stehen geblieben und hat nach links und rechts geschaut?"
Sg7_Carprediction_11,"앞이 안 보이는 곳에서는,항상 먼저 멈추고 확인하는 거야. 알겠지?","In places where you can't see ahead, always stop and check first. Okay?","Dans les endroits où vous ne pouvez pas voir devant vous, arrêtez-vous toujours et vérifiez d'abord. D'accord ?","В местах, где вы не можете видеть вперед, всегда останавливайтесь и проверяйте сначала. Хорошо?","An Stellen, an denen Sie nicht voraussehen können, halten Sie immer an und schauen Sie zuerst nach. Okay?"
Sg7_Carprediction_12,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg7_Carprediction_13,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Str_Look_Beside,양 옆을 살펴요,Look at both sides,Regardez les deux côtés,Посмотрите на обе стороны,Betrachten Sie beide Seiten
Str_Raise_Hand,손을 머리 높이 올려요,Raise your hands high above your head.,Levez vos mains bien au-dessus de votre tête.,Поднимите руки высоко над головой.,Heben Sie Ihre Hände hoch über Ihren Kopf.
Str_Cross_Road,손을 들고 길을 건너 봐요,Raise your hand and cross the street.,Levez la main et traversez la rue.,Поднимите руку и перейдите улицу.,Heben Sie Ihre Hand und überqueren Sie die Straße.
Str_Hehind_Yellow,노란 안전선 뒤가 안전해요,It's safe behind the yellow safety line.,C'est sûr derrière la ligne de sécurité jaune.,За желтой линией безопасности безопасно.,Hinter der gelben Sicherheitslinie ist es sicher.
Str_Waiting_Greenlight,초록불이 켜질 때까지 기다려요,Wait until the green light turns on.,Attendez que le voyant vert s'allume.,"Подождите, пока не загорится зеленый свет.","Warten Sie, bis das grüne Licht aufleuchtet."
Str_Meeting_Friend,친구를 만나러 가야 해요,I have to go meet a friend,Je dois aller retrouver un ami,Мне нужно встретиться с другом.,Ich muss einen Freund treffen
Ch1_MissionText_0,안전하게 건널목 건너기!,Cross the street safely!,Traversez la rue en toute sécurité !,Переходите улицу безопасно!,Überqueren Sie die Straße sicher!
Ch1_MissionText_1,우선 멈춰요,"First of all, stop.","Tout d’abord, arrêtez.","Прежде всего, остановитесь.",Erstens: Hören Sie auf.
Ch1_MissionText_2,건너기 전 좌우를 살펴요,Look left and right before crossing,Regardez à gauche et à droite avant de traverser,"Посмотрите налево и направо, прежде чем перейти дорогу.",Schauen Sie vor dem Überqueren nach links und rechts
Ch1_MissionText_3,손을 들고 횡단해요,Raise your hand and cross the street,Levez la main et traversez la rue,Поднимите руку и перейдите улицу.,Heben Sie Ihre Hand und überqueren Sie die Straße
Ch2_MissionText_0,안전하게 골목길 건너기!,Cross the street safely!,Traversez la rue en toute sécurité !,Переходите улицу безопасно!,Überqueren Sie die Straße sicher!
Ch2_MissionText_1,건너기 전 좌우를 살펴요,Look left and right before crossing,Regardez à gauche et à droite avant de traverser,"Посмотрите налево и направо, прежде чем перейти дорогу.",Schauen Sie vor dem Überqueren nach links und rechts
Ch2_MissionText_2,손을 들고 횡단해요,Raise your hand and cross the street,Levez la main et traversez la rue,Поднимите руку и перейдите улицу.,Heben Sie Ihre Hand und überqueren Sie die Straße
Mini1,이번엔 아주 특별한 체험을 준비했어!,"This time, we've prepared a very special experience!","Cette fois-ci, nous vous avons préparé une expérience très spéciale !",На этот раз мы приготовили нечто совершенно особенное!,Dieses Mal haben wir ein ganz besonderes Erlebnis vorbereitet!
Mini2,차량에는 사각지대라는 게 있대! 얼마나 잘 안 보이는지 직접 확인해보자!,There's something called a blind spot in a car! Let's see for yourself how hard it is to see!,Il y a ce qu'on appelle un angle mort en voiture ! Voyons par vous-même à quel point il est difficile de voir !,"В машине есть нечто, называемое слепой зоной! Давайте сами посмотрим, насколько сложно что-то увидеть!","Es gibt so etwas wie einen toten Winkel im Auto! Überzeugen Sie sich selbst, wie schwer es ist, dort etwas zu sehen!"
Mini3,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.",Blind spots are areas that are not visible to the driver.,Les angles morts sont des zones qui ne sont pas visibles pour le conducteur.,"Слепые зоны — это области, которые не видны водителю.","Tote Winkel sind Bereiche, die für den Fahrer nicht sichtbar sind."
Mini4,"창문으로도, 거울로도 잘 안 보여서… 친구가 거기 있으면 정말 위험해.",I can't see very well through the window or the mirror... It's really dangerous if my friend is there.,Je ne vois pas très bien à travers la fenêtre ou le miroir... C'est vraiment dangereux si mon ami est là.,"Я не очень хорошо вижу через окно или зеркало... Это действительно опасно, если там находится мой друг.","Ich kann durch das Fenster oder den Spiegel nicht gut sehen ... Es ist wirklich gefährlich, wenn mein Freund da ist."
Mini5,"그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!","So from now on, you will see it with your own eyes!","Alors à partir de maintenant, vous le verrez de vos propres yeux !",Так что отныне вы увидите все это своими глазами!,Von nun an werden Sie es mit eigenen Augen sehen!
Mini6,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?",How about experiencing for yourself how poorly blind spots are seen with a simple game?,Que diriez-vous de découvrir par vous-même à quel point les angles morts sont mal perçus avec un jeu simple ?,"А как насчет того, чтобы лично убедиться, насколько плохо видны слепые зоны в простой игре?","Wie wäre es, wenn Sie selbst erleben würden, wie schlecht blinde Flecken bei einem einfachen Spiel erkannt werden?"
Mini7,차량 주변에 장난꾸러기 친구들이 숨어 있을 거야! 너가 지목해서 찾아내면 돼!,There will be mischievous friends hiding around the car! You just have to point them out and find them!,Des amis malicieux se cacheront autour de la voiture ! Il suffit de les repérer et de les trouver !,Вокруг машины будут прятаться озорные друзья! Вам просто нужно указать на них и найти их!,Rund um das Auto verstecken sich spitzbübische Freunde! Du musst sie nur finden!
Mini8,정해진 시간 안에 몇 명을 찾아볼 수 있을까?!,How many people can you find within the given time?!,Combien de personnes pouvez-vous trouver dans le temps imparti ?!,Сколько людей вы сможете найти за отведенное время?!,Wie viele Personen können Sie in der vorgegebenen Zeit finden?!
Mini9,그럼~ 준비 되었어?!,So~ are you ready?!,"Alors, êtes-vous prêt ?!","Ну что, вы готовы?!","Also, bist du bereit?!"
Mini10,수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?,Good job! Let's see how well you found your friends.,Bravo ! Voyons si tu as réussi à trouver tes amis.,"Хорошая работа! Посмотрим, насколько хорошо ты нашел своих друзей.","Gut gemacht! Mal sehen, wie gut du deine Freunde gefunden hast."
Mini11,오~ 잘 찾았는걸?! 정말 잘했어! 근데... 이 친구는 아주 제대로 숨어 있었지?,"Oh~ You found it?! You did a great job! But... this guy was hiding really well, right?","Oh~ Tu l'as trouvé ?! Tu as fait du bon travail ! Mais… ce type se cachait vraiment bien, non ?","О~ Ты нашел его?! Ты проделал большую работу! Но... этот парень очень хорошо спрятался, да?","Oh~ Du hast es gefunden?! Super gemacht! Aber... der Kerl hat sich echt gut versteckt, oder?"
Mini12,"그럼 이제, 아직까지 잘 숨어 있는 친구들은 어디 있었는지 확인해볼까?","So now, let's check where our friends who have been hiding well until now are?","Alors maintenant, vérifions où sont nos amis qui se sont bien cachés jusqu'à présent ?","Итак, давайте проверим, где же наши друзья, которые до сих пор хорошо прятались?","Schauen wir also jetzt nach, wo unsere Freunde sind, die sich bisher gut versteckt haben."
Mini13,이처럼 친구들이 숨어있을 때 자동차가 움직였으면 정말 위험했을 거야.,"If the car had moved while my friends were hiding like this, it would have been really dangerous.","Si la voiture avait bougé pendant que mes amis se cachaient comme ça, cela aurait été vraiment dangereux.","Если бы машина двинулась с места, пока мои друзья прятались, это было бы действительно опасно.","Wenn sich das Auto bewegt hätte, während meine Freunde sich so versteckt hielten, wäre es wirklich gefährlich gewesen."
Mini14,이제 사각지대가 얼마나 위험한지 잘 알겠지?,"Now you know how dangerous blind spots can be, right?","Vous savez maintenant à quel point les angles morts peuvent être dangereux, n’est-ce pas ?","Теперь вы знаете, насколько опасными могут быть слепые зоны, верно?","Jetzt wissen Sie, wie gefährlich tote Winkel sein können, oder?"
Mini15,이제 너도 사각지대 전문가야~!,Now you're a blind spot expert!,Vous êtes désormais un expert des angles morts !,Теперь вы эксперт по слепым зонам!,Jetzt sind Sie ein Experte für den toten Winkel!
Mini16,"그럼, 다음 장소로 가보자!","Well then, let's go to the next place!","Bon alors, passons à l'endroit suivant !","Ну что ж, пойдем в следующее место!","Na dann, auf zum nächsten Ort!"
Mini17,주위를 한번 둘러봐!,Take a look around!,Regardez autour de vous !,Оглянитесь вокруг!,Schauen Sie sich um!
Str_Announce_Chapter2_4,잘했어! 최고야!,Good job! You're the best!,Bravo ! Tu es le meilleur !,Отличная работа! Ты лучший!,Gute Arbeit! Du bist der Beste!
Str_Announce_Chapter2_5,"골목길 안전 보행 미션 완료! 이제 골목길에서도 스스로 잘 건널 수 있겠는걸?
좋아~ 다음 학습으로 떠나볼까?","Alleyway safe walking mission completed! Now you can cross the alleyway by yourself, right? Alright~ Shall we move on to the next lesson?","Mission de marche sécurisée dans la ruelle terminée ! Vous pouvez maintenant traverser la ruelle tout seul, n'est-ce pas ? Bien, on passe à la leçon suivante ?","Миссия по безопасному переулку выполнена! Теперь ты можешь перейти переулок самостоятельно, верно? Хорошо~ Перейдем к следующему уроку?","Mission „Sicheres Gehen durch die Gasse“ abgeschlossen! Jetzt kannst du die Gasse alleine überqueren, oder? Okay, fahren wir mit der nächsten Lektion fort?"
Str_Announce_Chapter2_Minigame_1,"이번엔 아주 특별한 체험을 준비했어!
차량에는 사각지대라는 게 있대!
얼마나 잘 안 보이는지 직접 확인해보자!","This time, I've prepared a very special experience!
There is something called a blind spot in a car!
Let's see for yourself how hard it is to see!","Cette fois, je vous ai préparé une expérience vraiment spéciale !
Il existe ce qu'on appelle un angle mort dans une voiture !
Voyons par vous-même à quel point il est difficile de voir !","На этот раз я приготовил совершенно особенный опыт!
В машине есть нечто, называемое слепой зоной!
Давайте сами посмотрим, насколько сложно видеть!","Dieses Mal habe ich ein ganz besonderes Erlebnis für Sie!
Es gibt so etwas wie einen toten Winkel im Auto!
Sehen Sie selbst, wie schwer es ist, etwas zu sehen!"
Str_Announce_Chapter2_Minigame_2,"사각지대는, 운전자 시야로는 보이지 않는 공간이야.
창문으로도, 거울로도 잘 안 보여서…
친구가 거기 있으면 정말 위험해.
그래서 지금부터, 그걸 네 눈으로 직접 확인해볼 거야!","Blind spots are spaces that cannot be seen by the driver.
They are not visible through windows or mirrors…

It is really dangerous if your friend is there.
So from now on, you will check it with your own eyes!","Les angles morts sont des espaces invisibles pour le conducteur.
Ils ne sont visibles ni à travers les vitres ni les rétroviseurs…

C'est vraiment dangereux si votre ami s'y trouve.
Alors, à partir de maintenant, vous allez le vérifier de vos propres yeux !","Слепые зоны — это пространства, которые водитель не видит.
Они не видны через окна или зеркала…

Это действительно опасно, если там находится ваш друг.
Так что с этого момента вы будете проверять это собственными глазами!","Tote Winkel sind Bereiche, die vom Fahrer nicht eingesehen werden können.
Sie sind weder durch Fenster noch durch Spiegel sichtbar.

Es ist wirklich gefährlich, wenn ein Freund dabei ist.
Also überprüfe ihn ab jetzt mit eigenen Augen!"
Str_Announce_Chapter2_Minigame_3,"사각지대가 얼마나 잘 안 보이는지, 간단한 게임으로 직접 느껴볼까?
차량 주변에 장난꾸러기 친구들이 숨어 있을 거야!
너가 지목해서 찾아내면 돼!
정해진 시간 안에 몇 명을 찾아볼 수 있을까?!
그럼~ 준비 되었어?!","How hard is it to see the blind spot? Let's experience it for yourself with a simple game.
There will be mischievous friends hiding around the car!
You have to point them out and find them!
How many can you find in the given time?!
So~ Are you ready?!","Est-il difficile de voir l'angle mort ? Voyons-le par vous-même avec un jeu simple.
Des amis malicieux se cacheront autour de la voiture !
Il faut les repérer et les trouver !
Combien parviendrez-vous à en trouver dans le temps imparti ?!
Alors, prêt ?!","Насколько сложно увидеть слепую зону? Давайте испытаем это сами с помощью простой игры.
Вокруг машины будут прятаться озорные друзья!
Вы должны указать на них и найти их!
Сколько вы сможете найти за отведенное время?!
Итак~ Вы готовы?!","Wie schwer ist es, den toten Winkel zu erkennen? Lass es uns mit einem einfachen Spiel selbst erleben.
Es werden sich schelmische Freunde rund ums Auto verstecken!
Du musst sie finden und sie ausfindig machen!
Wie viele schaffst du in der vorgegebenen Zeit?!
Also, bist du bereit?!"
Str_Announce_Chapter2_Minigame_4,"수고했어! 친구들을 얼마나 잘 찾았는지 한 번 볼까?
오~ 잘 찾았는걸?! 정말 잘했어!
근데... 이 친구는 아주 제대로 숨어 있었지?","Good job! Let's see how well you found your friends.
Oh~ You found them?! You did a great job!
But... this friend hid really well, right?","Bien joué ! Voyons voir si tu as bien trouvé tes amis.
Oh~ Tu les as trouvés ?! Tu as fait du bon travail !
Mais… cet ami s'est vraiment bien caché, non ?","Хорошая работа! Посмотрим, как хорошо ты нашёл своих друзей.
О~ Ты нашёл их?! Ты отлично поработал!
Но... этот друг спрятался очень хорошо, да?","Gut gemacht! Mal sehen, wie gut du deine Freunde gefunden hast.
Oh, du hast sie gefunden?! Super gemacht!
Aber ... dieser Freund hat sich echt gut versteckt, oder?"
Str_Announce_Chapter2_Minigame_5,"그럼 이제, 아직까지 잘 숨어 있는
친구들은 어디 있었는지 확인해볼까?
이처럼 친구들이 숨어있을 때
자동차가 움직였으면 정말 위험했을 거야.
이제 사각지대가 얼마나 위험한지 잘 알겠지?","Now, let's check where our friends who are still well hidden are.
If the car had moved while our friends were hiding like this, it would have been really dangerous.
Now you know how dangerous blind spots are, right?","Maintenant, vérifions où sont nos amis encore bien cachés.
Si la voiture avait bougé pendant que nos amis se cachaient comme ça, ça aurait été vraiment dangereux.
Vous savez maintenant à quel point les angles morts sont dangereux, n'est-ce pas ?","Теперь давайте проверим, где находятся наши друзья, которые все еще хорошо спрятались.
Если бы машина двинулась, пока наши друзья прятались, это было бы действительно опасно.
Теперь вы знаете, насколько опасны слепые зоны, верно?","Schauen wir jetzt mal nach, wo unsere Freunde sind, die sich noch gut versteckt haben.
Hätte sich das Auto bewegt, während unsere Freunde sich so versteckt hielten, wäre es wirklich gefährlich gewesen.
Du weißt doch, wie gefährlich tote Winkel sind, oder?"
Str_Announce_Chapter2_Minigame_6,"이제 너도 사각지대 전문가야~!
그럼, 다음 장소로 가보자!","Now you're a blind spot expert~!
Then, let's go to the next location!","Vous êtes désormais un expert des angles morts !

Allons donc à l'endroit suivant !","Теперь ты эксперт по слепым зонам~!
Тогда пойдем в следующую локацию!","Jetzt bist du ein Experte für tote Winkel!
Dann auf zum nächsten Ort!"
Str_Announce_Chapter3_1,"주변 사람들을 잘 관찰해보는 게임이야!
위험하게 걷는 사람을 찾아서 컨트롤러로 선택해줘!
잘 찾으면 점수가 올라가고, 틀리면 점수가 깎일 수 있어!
시간 안에 많은 사람을 맞혀보자! 준비됐지?","It's a game where you have to observe the people around you carefully!
Find people walking dangerously and select them with the controller!
If you find them correctly, your score will go up, and if you get them wrong, your score may go down!
Let's guess as many people as possible within the time limit! Are you ready?","C'est un jeu où vous devez observer attentivement les gens autour de vous !
Trouvez les personnes qui marchent dangereusement et sélectionnez-les avec la manette !
Si vous les trouvez correctement, votre score augmentera, et si vous vous trompez, il pourrait baisser !
Devinez le plus de personnes possible dans le temps imparti ! Prêts ?","Это игра, в которой вам нужно внимательно наблюдать за людьми вокруг вас!
Найдите людей, которые опасно ходят, и выберите их с помощью контроллера!
Если вы найдете их правильно, ваш счет увеличится, а если вы ошибетесь, ваш счет может уменьшиться!
Давайте угадаем как можно больше людей за отведенное время! Вы готовы?","In diesem Spiel musst du die Menschen um dich herum genau beobachten!
Finde gefährliche Personen und wähle sie mit dem Controller aus!
Wenn du sie richtig errätst, steigt deine Punktzahl, und wenn du sie falsch errätst, kann sie sinken!
Lass uns innerhalb des Zeitlimits so viele Personen wie möglich erraten! Bist du bereit?"
Str_Announce_Chapter3_2,3...2...1...시작!,3...2...1...start!,3...2...1...départ !,3...2...1...старт!,3...2...1...Start!
Str_Announce_Chapter3_3,"정말 대단했어!
안전 보행 교육을 완벽히 마친 모범 보행자에게 수료증을 수여합니다!
앞으로도 안전하게 걸을 수 있겠지?  
진심으로 축하해!","That was really great!
A certificate of completion is given to the model pedestrian who has completed the safety walking training perfectly!
I hope you will be able to walk safely in the future?

Congratulations from the bottom of my heart!","C'était vraiment génial !
Un certificat de réussite est remis au piéton modèle qui a parfaitement suivi la formation de marche en toute sécurité !
J'espère que vous pourrez marcher en toute sécurité à l'avenir.

Félicitations du fond du cœur !","Это было действительно здорово!
Сертификат об окончании выдается образцовому пешеходу, который отлично завершил обучение безопасной ходьбе!
Надеюсь, вы сможете безопасно ходить в будущем?

Поздравляю от всего сердца!","Das war echt toll!
Der Musterfußgänger, der das Sicherheits-Gehtraining perfekt absolviert hat, erhält eine Teilnahmeurkunde!
Ich hoffe, du kannst auch in Zukunft sicher gehen?

Herzlichen Glückwunsch!"
Str_Announce_Chapter3_4,"수고했어~!
안전 보행 교육을 잘 마쳐서 수료증을 받을 수 있게 되었어!
조금 더 연습하면 너도 금메달에 도전할 수 있을 거야!","You worked hard~!
You successfully completed the safety walking training and were able to receive a certificate!
If you practice a little more, you too can challenge for the gold medal!","Vous avez travaillé dur !
Vous avez réussi la formation de marche sécuritaire et avez reçu un certificat !
En vous entraînant un peu plus, vous aussi, vous pourrez prétendre à la médaille d'or !","Вы усердно трудились~!
Вы успешно прошли обучение по безопасной ходьбе и смогли получить сертификат!
Если вы потренируетесь еще немного, вы тоже сможете побороться за золотую медаль!","Du hast hart gearbeitet!
Du hast das Sicherheitsgehtraining erfolgreich abgeschlossen und ein Zertifikat erhalten!
Wenn du noch ein bisschen übst, kannst auch du um die Goldmedaille kämpfen!"
Str_Announce_Chapter3_5,"정말 수고했어~ 여기까지 온 것도 멋진 일이야!
모든 게임을 끝까지 해낸 너에게 보행 안전 수료증을 줄게!
다음엔 더 멋지게 해낼 수 있을 거야!  
내가 항상 응원할게~","You worked really hard~ It's great that you've come this far!
I'll give you a pedestrian safety certificate for completing all the games!
You'll do even better next time!

I'll always be cheering you on~","Tu as travaillé dur ! C'est super que tu sois arrivé jusqu'ici !
Je te donnerai un certificat de sécurité piétonne pour avoir terminé tous les jeux !
Tu feras encore mieux la prochaine fois !

Je t'encouragerai toujours !","Ты очень усердно работал~ Здорово, что ты зашел так далеко!
Я выдам тебе сертификат безопасности пешехода за прохождение всех игр!
В следующий раз ты справишься еще лучше!

Я всегда буду тебя поддерживать~","Du hast wirklich hart gearbeitet. Toll, dass du es so weit geschafft hast!
Ich schenke dir ein Fußgängersicherheitszertifikat, wenn du alle Spiele geschafft hast!
Nächstes Mal schaffst du es noch besser!

Ich werde dich immer anfeuern."
