Key,Korean(ko),English(en),Japanese(ja),Chinese (Simplified)(zh),French(fr),Hindi(hi),Russian(ru),German(de)
Sg8_9,"그럼,이번엔 어떻게 해야 안전한지 차분히 보여줄게.","Okay, this time I'll show you calmly how to be safe.",さて、今回は落ち着いて安全に過ごす方法をお見せします。,好，这次我就心平气和地教你如何安全。,"Ok, cette fois je vais vous montrer calmement comment être en sécurité.","ठीक है, इस बार मैं तुम्हें शांति से दिखाऊंगा कि कैसे सुरक्षित रहना है।","Хорошо, на этот раз я спокойно покажу вам, как быть в безопасности.","Okay, dieses Mal zeige ich Ihnen in aller Ruhe, wie Sie sicher bleiben."
Sg8_10,"빨간불일 땐,이렇게 노란 안전선 뒤에서 멈춰 있어야 해.","When the light is red, you must stop behind the yellow safety line like this.",信号が赤のときは、このように黄色の安全線の後ろで停止しなければなりません。,当红灯亮时，你必须像这样停在黄色安全线后面。,"Lorsque le feu est rouge, vous devez vous arrêter derrière la ligne de sécurité jaune comme ceci.",जब बत्ती लाल हो तो आपको इस तरह पीली सुरक्षा रेखा के पीछे रुकना चाहिए।,"Когда загорается красный свет, вы должны остановиться за желтой линией безопасности, вот так.","Bei Rot müssen Sie hinter der gelben Sicherheitslinie anhalten, und zwar so."
Sg8_11,"초록불로 바뀌면,좌우를 확인하고 손을 들고 천천히 건너면 돼.","When the light turns green, look left and right, raise your hand, and cross slowly.",信号が青に変わったら、左右を確認し、手を上げてゆっくりと渡ってください。,当灯变绿时，向左和向右看，举起手，慢慢穿过。,"Lorsque le feu passe au vert, regardez à gauche et à droite, levez la main et traversez lentement.","जब बत्ती हरी हो जाए, तो बायीं और दायीं ओर देखें, अपना हाथ ऊपर उठाएं और धीरे से सड़क पार करें।","Когда загорится зеленый свет, посмотрите налево и направо, поднимите руку и медленно переходите дорогу.","Wenn die Ampel grün wird, schauen Sie nach links und rechts, heben Sie die Hand und überqueren Sie langsam die Straße."
Sg8_12,"신호를 지키는 건,네 안전을 지키는 거란 걸 꼭 기억해.",Always remember that obeying the signal protects your safety.,信号に従うことがあなたの安全を守るということを常に覚えておいてください。,永远记住，遵守信号可以保护您的安全。,N'oubliez jamais qu'obéir au signal protège votre sécurité.,हमेशा याद रखें कि सिग्नल का पालन करने से आपकी सुरक्षा होती है।,"Всегда помните, что соблюдение сигнала обеспечивает вашу безопасность.","Denken Sie immer daran, dass Ihre Sicherheit durch die Befolgung des Signals gewährleistet ist."
Sg8_13,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg8_14,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Gehen wir zurück auf die Straße und versuchen es noch einmal!
GsStart1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,大丈夫。誰でも間違いを犯すことがある。,没关系，谁都会犯错。,Ce n'est pas grave. Tout le monde peut faire des erreurs.,"कोई बात नहीं, ग़लतियाँ तो कोई भी कर सकता है।",Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
GsStart2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!,今起こったことがなぜ危険だったのかを見てみましょう。,让我们看看为什么刚刚发生的事情是危险的！,Voyons pourquoi ce qui vient de se passer était dangereux !,आइये देखें कि अभी जो हुआ वह खतरनाक क्यों था!,"Давайте разберемся, почему произошедшее было опасным!","Schauen wir uns an, warum das, was gerade passiert ist, gefährlich war!"
GsHandUp1,아까 너는 그냥 걸어가기만 했지? 손은 안 들었더라.,"You just walked away earlier, didn't you? You didn't even raise your hand.",さっき立ち去ったでしょう？手も挙げなかったし。,你刚才不是走开了吗？你甚至都没举手。,"Tu t'es simplement éloigné, n'est-ce pas ? Tu n'as même pas levé la main.","तुम तो अभी-अभी चले गए थे, है न? तुमने तो अपना हाथ भी नहीं उठाया।","Ты просто ушёл раньше, не так ли? Ты даже руку не поднял.","Du bist vorhin einfach weggegangen, oder? Du hast nicht einmal die Hand gehoben."
GsHandUp2,"손을 안 들면,차에 있는 사람들이 널 못 보고 차가 그냥 지나갈 수도 있어!","If you don't raise your hand, the people in the car might not see you and the car might just pass by!",手を挙げないと、車内の人があなたに気づかず、車が通り過ぎてしまうかもしれません。,如果您不举手，车里的人可能看不到您，而车辆可能就会直接驶过！,"Si vous ne levez pas la main, les personnes dans la voiture risquent de ne pas vous voir et la voiture risque de passer à côté !","यदि आप अपना हाथ नहीं उठाएंगे, तो कार में बैठे लोग आपको नहीं देख पाएंगे और कार गुजर जाएगी!","Если вы не поднимете руку, люди в машине могут вас не заметить, и машина просто проедет мимо!","Wenn Sie Ihre Hand nicht heben, werden Sie von den Leuten im Auto möglicherweise nicht gesehen und das Auto fährt einfach vorbei!"
GsHandUp3,그럼 아야하겠지? 그래서 조심해야 해!,"Well, then you have to be careful, right?",そうですね、気をつけないといけませんね？,那么你就得小心了，对吧？,"Eh bien, il faut faire attention, n'est-ce pas ?","तो फिर आपको सावधान रहना होगा, है ना?","Ну, тогда вам нужно быть осторожным, верно?","Na, dann muss man doch vorsichtig sein, oder?"
GsHandUp4,"차에 있는 사람들은,앞이나 옆이 잘 안 보일 때도 있어.",People in cars sometimes have difficulty seeing in front or to the sides.,車に乗っていると、前方や横が見えにくくなることがあります。,坐在车里的人有时会难以看清前方或侧面的视线。,Les personnes en voiture ont parfois du mal à voir devant ou sur les côtés.,कार में बैठे लोगों को कभी-कभी सामने या बगल में देखने में कठिनाई होती है।,У людей в автомобилях иногда возникают проблемы с обзором вперед или по сторонам.,"Menschen in Autos haben manchmal Schwierigkeiten, nach vorne oder zur Seite zu sehen."
GsHandUp5,그래서 우리가 먼저 손을 들어서 알려주는 게 좋아.,So it's better for us to raise our hands first and let them know.,だから、私たちがまず手を挙げて知らせたほうがいいのです。,所以我们最好先举手让他们知道。,Il est donc préférable que nous levions d’abord la main et que nous le leur fassions savoir.,इसलिए बेहतर होगा कि हम पहले अपने हाथ उठाएं और उन्हें बताएं।,Поэтому нам лучше первыми поднять руки и дать им знать.,"Deshalb ist es für uns besser, zuerst die Hand zu heben und es ihnen mitzuteilen."
GsHandUp6,"봐봐,손도 안 들고 그냥 건너고 있지?","Look, he's just crossing without even raising his hand.",ほら、彼は手も挙げずに渡っているよ。,你看，他只是过马路，甚至没有举手。,"Regardez, il traverse sans même lever la main.","देखो, वह तो बिना हाथ उठाए ही सड़क पार कर रहा है।","Смотрите, он просто переходит дорогу, даже не подняв руки.","Sehen Sie, er geht einfach über die Straße, ohne auch nur die Hand zu heben."
GsHandUp7,"손을 안 들면,운전자도 못 보고 멈추기 어려울 수 있어.","If you don't raise your hand, the driver may not be able to see you and it may be difficult to stop.",手を挙げないと、運転手があなたに気付かず、停車が難しくなる場合があります。,如果您不举手，司机可能看不到您，并且可能很难停车。,"Si vous ne levez pas la main, le conducteur risque de ne pas vous voir et il pourrait être difficile de s’arrêter.",यदि आप अपना हाथ नहीं उठाएंगे तो ड्राइवर आपको देख नहीं पाएगा और उसे रुकना मुश्किल हो जाएगा।,"Если вы не поднимете руку, водитель может вас не увидеть, и остановиться будет сложно.","Wenn Sie Ihre Hand nicht heben, kann der Fahrer Sie möglicherweise nicht sehen und es kann schwierig sein, anzuhalten."
GsHandUp8,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?",さて、これから何をするか考えてみましょうか。,那么，我们现在看看该做什么好吗？,"Bon, alors, voyons ce qu’il faut faire maintenant ?","तो फिर, अब हम देखेंगे कि क्या करना है?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
GsHandUp9,이 친구는 건널 때 손을 들고 있지?,Isn't this guy raising his hand when he crosses?,この人は横断するとき手を挙げてないの？,这家伙过马路不是举手吗？,Ce type ne lève-t-il pas la main quand il traverse ?,क्या यह आदमी सड़क पार करते समय अपना हाथ नहीं उठा रहा है?,"Разве этот парень не поднимает руку, когда переходит дорогу?","Hebt dieser Typ nicht seine Hand, wenn er die Grenze überquert?"
GsHandUp10,그럼 차에 있는 사람들도 금방 알아볼 수 있어서 안전하게 건널 수 있어!,"Then, people in cars can quickly recognize you and cross the street safely!",そうすれば、車に乗っている人がすぐにあなたを認識し、安全に道路を渡ることができます。,这样，车里的人就能很快认出你并安全地过马路！,"Ainsi, les personnes en voiture pourront rapidement vous reconnaître et traverser la rue en toute sécurité !","फिर, कार में बैठे लोग आपको तुरंत पहचान लेंगे और सुरक्षित रूप से सड़क पार कर सकेंगे!",Тогда люди в автомобилях смогут быстро вас узнать и безопасно перейти улицу!,Dann können Autofahrer Sie schnell erkennen und sicher die Straße überqueren!
GsEnd1,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
GsEnd2,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
GsLookAround1,"아까 너는 초록불이 켜지자마자,아무 것도 안 보고 그냥 건넜어.","Earlier, as soon as the green light turned on, you just crossed without looking at anything.",以前は、青信号が点灯するとすぐに、何も見ずに渡っていました。,以前，只要绿灯一亮，什么都不用看，就可以过马路。,"Avant, dès que le feu vert s'allumait, on traversait sans rien regarder.","पहले, जैसे ही हरी बत्ती जलती थी, आप बिना कुछ देखे ही सड़क पार कर जाते थे।","Раньше, как только загорался зеленый свет, вы просто переходили дорогу, не глядя ни на что.","Früher ging man, sobald die Ampel grün war, einfach über die Straße, ohne etwas zu beachten."
GsLookAround2,가끔은 차가 신호를 놓치고 그냥 지나갈 수도 있어. 그래서 우리가 먼저 확인해야 해.,"Sometimes cars miss the signal and just pass by, so we have to check first.",車が信号を無視して通り過ぎることもあるので、まず確認しなければなりません。,有时汽车会错过信号并直接驶过，所以我们必须先检查一下。,"Parfois, les voitures ratent le signal et passent simplement, nous devons donc vérifier d'abord.","कभी-कभी गाड़ियां सिग्नल को भूल जाती हैं और गुजर जाती हैं, इसलिए हमें पहले जांच करनी पड़ती है।","Иногда автомобили пропускают сигнал и просто проезжают мимо, поэтому нам приходится сначала проверять.","Manchmal verpassen Autos das Signal und fahren einfach vorbei, deshalb müssen wir zuerst nachsehen."
GsLookAround3,"신호가 바뀌었어도,옆에서 오는 차가 있을 수 있어.","Even if the signal changes, there may be a car coming from the side.",信号が変わっても横から車が来るかも知れません。,即使信号改变，也可能会有车从侧面驶来。,"Même si le signal change, il se peut qu'une voiture arrive sur le côté.",यदि सिग्नल बदल भी जाए तो भी बगल से कोई कार आ सकती है।,"Даже если сигнал светофора изменится, сбоку может появиться автомобиль.","Auch wenn die Ampel umschaltet, kann es sein, dass von der Seite ein Auto kommt."
GsLookAround4,"그래서 꼭,차가 멈췄는지 먼저 보고 건너야 해.","So, you must check first to see if the car has stopped before crossing.",そのため、横断する前にまず車が停止しているかどうかを確認する必要があります。,因此，您必须先检查车辆是否已经停下，然后再过马路。,Vous devez donc d’abord vérifier si la voiture s’est arrêtée avant de traverser.,"इसलिए, आपको पहले यह जांच कर लेनी चाहिए कि सड़क पार करने से पहले कार रुकी है या नहीं।","Поэтому перед тем, как пересечь дорогу, вам необходимо сначала проверить, остановилась ли машина.","Daher müssen Sie vor dem Überqueren zunächst prüfen, ob das Auto angehalten hat."
GsLookAround5,"봐봐,이 친구는 초록불이 켜지자마자 그냥 건너고 있어.","Look, this guy just crosses the street as soon as the light turns green.",見て、この男は信号が青になるとすぐに道路を渡ります。,瞧，这家伙一绿灯就过马路了。,"Regardez, ce type traverse la rue dès que le feu passe au vert.","देखो, यह आदमी हरी बत्ती होते ही सड़क पार कर जाता है।","Смотри, этот парень просто переходит улицу, как только загорается зеленый свет.","Schauen Sie, dieser Typ überquert die Straße, sobald die Ampel grün wird."
GsLookAround6,깜짝이야! 진짜 놀랐어! 이렇게 초록불인데도 오는 차가 있을 수 있어!,Wow! I'm really surprised! There can be cars coming even when the light is green!,わあ！びっくり！信号が青でも車が来ることがあるんですね！,哇！我真是太惊讶了！绿灯亮了，居然还有车过来！,Waouh ! Je suis vraiment surprise ! Il peut y avoir des voitures qui arrivent même quand le feu est vert !,वाह! मैं वाकई हैरान हूँ! हरी बत्ती होने पर भी गाड़ियाँ आ सकती हैं!,Ого! Я действительно удивлен! Машины могут ехать даже на зеленый свет!,Wow! Ich bin wirklich überrascht! Selbst bei Grün können Autos kommen!
GsLookAround7,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?",さて、これから何をするか考えてみましょうか。,那么，我们现在看看该做什么好吗？,"Bon, alors, voyons ce qu’il faut faire maintenant ?","तो फिर, अब हम देखेंगे कि क्या करना है?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
GsLookAround8,먼저 좌우를 살펴보고...,"First, look left and right...",まずは左右を見てください…,首先，向左看，向右看……,"Tout d’abord, regardez à gauche et à droite…",सबसे पहले बायीं और दायीं ओर देखें...,Сначала посмотрите налево и направо...,Schauen Sie zuerst nach links und rechts ...
GsLookAround9,봐봐! 이렇게 하면 진짜 안전하게 건널 수 있어!,"Look! If you do this, you can cross really safely!",見て！こうすれば本当に安全に渡れるよ！,看！如果你这样做，你就能安全过河了！,"Regardez ! Si vous faites ça, vous pourrez traverser en toute sécurité !",देखो! अगर तुम ऐसा करोगे तो तुम सचमुच सुरक्षित रूप से पार जा सकोगे!,"Смотри! Если ты это сделаешь, то сможешь перейти действительно безопасно!",Schau! So kommst du ganz sicher über die Straße!
Sg6_BlindSpot_1,괜찮아! 이건 잘 몰랐을 수도 있거든.,It's okay! You might not have known this.,大丈夫だよ！知らなかったかもしれないけど。,没关系！你可能不知道这一点。,C'est bon ! Vous ne le saviez peut-être pas.,कोई बात नहीं! शायद आपको यह बात पता न हो।,Ничего страшного! Вы могли этого не знать.,Es ist okay! Das wussten Sie vielleicht nicht.
Sg6_BlindSpot_2,"왜 위험했는지,같이 알아보자!",Let's find out together why it was dangerous!,なぜ危険だったのか一緒に考えてみましょう！,让我们一起找出它为什么危险！,Découvrons ensemble pourquoi c'était dangereux !,आइये मिलकर पता लगाएं कि यह खतरनाक क्यों था!,"Давайте вместе выясним, почему это было опасно!","Lassen Sie uns gemeinsam herausfinden, warum es gefährlich war!"
Sg6_BlindSpot_3,사실 저기선 운전자가 널 못 봤을 수도 있어.,"Actually, the driver might not have seen you there.",実際、運転手はあなたをそこに見ていなかったかもしれません。,事实上，司机可能没有看到你。,"En fait, le chauffeur ne vous a peut-être pas vu là.","दरअसल, ड्राइवर ने शायद आपको वहां नहीं देखा होगा।","На самом деле, водитель мог вас там не заметить.",Tatsächlich hat der Fahrer Sie dort möglicherweise nicht gesehen.
Sg6_BlindSpot_4,그래서 차가 돌거나 움직이기 시작하면 정말 위험할 수 있어.,So if the car starts spinning or moving it can be really dangerous.,したがって、車が回転したり動き出したりする場合、非常に危険です。,因此，如果汽车开始旋转或移动，那就真的很危险了。,"Donc, si la voiture commence à tourner ou à bouger, cela peut être très dangereux.",इसलिए यदि कार घूमने लगे या चलने लगे तो यह बहुत खतरनाक हो सकता है।,"Поэтому, если автомобиль начнет вращаться или двигаться, это может быть действительно опасно.","Wenn das Auto also anfängt, sich zu drehen oder zu bewegen, kann das wirklich gefährlich sein."
Sg6_BlindSpot_5,"여기서 보면,너도 차 안에 있는 사람 얼굴이 안 보이지?","If you look here, can't you see the face of the person inside the car?",こちらを見ると、車の中にいる人の顔が見えませんか？,如果你看这里，你看不到车内人的脸吗？,"Si vous regardez ici, ne voyez-vous pas le visage de la personne à l'intérieur de la voiture ?",अगर आप यहां देखें तो क्या आपको कार के अंदर बैठे व्यक्ति का चेहरा नहीं दिख रहा है?,"Если вы посмотрите сюда, разве вы не видите лицо человека внутри машины?","Wenn Sie hier hinschauen, können Sie nicht das Gesicht der Person im Auto sehen?"
Sg6_BlindSpot_6,차에 있는 사람도 마찬가지야. 너도 안 보일 수 있어.,The same goes for people in cars. You might not be visible either.,車に乗っている人も同様です。あなたも見えなくなるかもしれません。,车里的人也一样，别人可能也看不到你。,Il en va de même pour les personnes en voiture. Vous pourriez ne pas être visible non plus.,यही बात कार में बैठे लोगों पर भी लागू होती है। हो सकता है कि आप भी दिखाई न दें।,То же самое касается людей в машинах. Вас тоже могут не увидеть.,Das Gleiche gilt für Personen in Autos. Auch Sie sind möglicherweise nicht sichtbar.
Sg6_BlindSpot_7,우린 그런 자리를 ‘사각지대’라고 해. 그래서 이런 곳에선 더 조심해야 해.,We call those places ‘blind spots.’ That’s why we have to be more careful in these places.,そういった場所を私たちは「死角」と呼んでいます。だからこそ、そういった場所ではより注意を払う必要があるのです。,我们把这些地方称为“盲点”。这就是为什么我们必须在这些地方更加小心。,Nous appelons ces endroits des « angles morts ». C’est pourquoi nous devons être plus prudents dans ces endroits.,हम उन स्थानों को ‘अंधे स्थान’ कहते हैं। इसलिए हमें इन स्थानों पर अधिक सावधान रहना होगा।,Мы называем такие места «слепыми зонами». Вот почему нам следует быть в таких местах более осторожными.,Wir nennen diese Stellen „tote Winkel“. Deshalb müssen wir an diesen Stellen vorsichtiger sein.
Sg6_BlindSpot_8,"저기 친구가 있는 위치 저긴 차에 가려서,안에서 전혀 볼 수 없어.","There's a car blocking the location of my friend, so I can't see him at all from inside.",友達のいる場所を車が遮っているので、車内からは全く友達が見えない。,有一辆车挡住了我朋友的位置，所以我从里面根本看不到他。,"Il y a une voiture qui bloque l'emplacement de mon ami, donc je ne peux pas le voir du tout de l'intérieur.","मेरे मित्र का स्थान एक कार द्वारा अवरुद्ध कर दिया गया है, इसलिए मैं उसे अंदर से बिल्कुल भी नहीं देख सकता।","Машина загораживает местонахождение моего друга, поэтому я вообще не могу его видеть изнутри.","Ein Auto versperrt den Blick auf meinen Freund, sodass ich ihn von innen überhaupt nicht sehen kann."
Sg6_BlindSpot_9,차가 조금만 더 갔으면 부딪힐 뻔했어! 엄청 위험하지?,"If the car had gone a little further, we almost crashed! Isn't that incredibly dangerous?",車がもう少し進んでいたら、衝突するところだったよ！すごく危険じゃない？,要是车子再开远一点，我们就差点撞车了！那不是超级危险吗？,"Si la voiture avait continué un peu plus loin, on aurait failli avoir un accident ! N'est-ce pas incroyablement dangereux ?","अगर कार थोड़ी और आगे चली जाती, तो हम लगभग दुर्घटनाग्रस्त हो जाते! क्या यह अविश्वसनीय रूप से खतरनाक नहीं है?","Если бы машина проехала немного дальше, мы бы чуть не разбились! Разве это не невероятно опасно?","Wäre das Auto noch ein Stück weiter gefahren, wären wir fast abgestürzt! Ist das nicht unglaublich gefährlich?"
Sg6_BlindSpot_10,그래서 우리는 운전자 시야에 안보이는 사각지대엔 절대 서 있으면 안 되는 거야.,That's why we should never stand in the blind spot of the driver's view.,だからこそ、ドライバーの視界の死角には決して立たないようにしてください。,这就是为什么我们永远不应该站在驾驶员视线的盲点处。,C'est pourquoi nous ne devrions jamais nous tenir dans l'angle mort du conducteur.,इसलिए हमें कभी भी ड्राइवर की नज़र से ओझल स्थान पर नहीं खड़ा होना चाहिए।,Вот почему мы никогда не должны находиться в слепой зоне обзора водителя.,Deshalb sollten wir uns nie im toten Winkel des Fahrers aufhalten.
Sg6_BlindSpot_11,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?",さて、これから何をするか考えてみましょうか。,那么，我们现在看看该做什么好吗？,"Bon, alors, voyons ce qu’il faut faire maintenant ?","तो फिर, अब हम देखेंगे कि क्या करना है?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
Sg6_BlindSpot_12,"봐봐,이 친구는 차 뒤가 아니라,운전자가 잘 볼 수 있는 위치로 이동하지?","Look, this guy, instead of moving to the back of the car, why don't you move to a position where the driver can see you?",ねえ、この人、車の後ろに移動するのではなく、運転手から見える位置に移動したらどうですか?,你看，这家伙，你为什么不移动到车后方，而移动到司机能看见你的位置呢？,"Écoute, ce type, au lieu de se déplacer vers l'arrière de la voiture, pourquoi ne te déplaces-tu pas vers une position où le conducteur peut te voir ?","देखो, हे आदमी, कार के पीछे जाने के बजाय, तुम ऐसी जगह क्यों नहीं जाते जहां से ड्राइवर तुम्हें देख सके?","Послушай, этот парень, вместо того, чтобы переходить в заднюю часть машины, почему бы тебе не переместиться туда, где водитель сможет тебя видеть?","Schauen Sie, dieser Typ, anstatt nach hinten im Auto zu gehen, warum gehen Sie nicht an eine Position, wo der Fahrer Sie sehen kann?"
Sg6_BlindSpot_13,시동이 걸린 차량 근처를 지나갈 때는 항상 운전자에게 잘 보이는 위치로 이동해야 해.,"When passing a running vehicle, always move to a position where the driver can see you.",走行中の車両を追い越すときは、必ず運転手から見える位置に移動してください。,当超越行驶中的车辆时，请务必移至驾驶员可以看到您的位置。,"Lorsque vous dépassez un véhicule en marche, déplacez-vous toujours vers une position où le conducteur peut vous voir.",किसी चलती गाड़ी को पार करते समय हमेशा ऐसी स्थिति में चलें जहां से चालक आपको देख सके।,"При обгоне движущегося транспортного средства всегда занимайте такое положение, чтобы водитель мог вас видеть.","Gehen Sie beim Überholen eines fahrenden Fahrzeugs immer so weit, dass der Fahrer Sie sehen kann."
Sg6_BlindSpot_14,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?",どうですか？これで何をすればいいか分かりましたね？,怎么样？现在你知道该怎么做了吧？,"Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","अब आप समझ गए होंगे कि क्या करना है, है न?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg6_BlindSpot_15,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,再び出発して、もう一度挑戦してみましょう!,让我们重新上路，再试一次！,Reprenons la route et essayons à nouveau !,"आइये, पुनः सड़क पर चलें और पुनः प्रयास करें!",Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg7_Carprediction_1,"지금처럼,안 보이는 쪽에서도 차가 나올 수 있어.","Just like now, cars can come out from the side you can't see.",今と同じように、見えないところから車が出てくることもあります。,就像现在一样，汽车可以从你看不到的一侧出来。,"Tout comme maintenant, les voitures peuvent sortir du côté que vous ne pouvez pas voir.","जैसे कि अब, कारें उस तरफ से भी निकल सकती हैं जिसे आप देख नहीं सकते।","Так же, как и сейчас, автомобили могут выехать с той стороны, которую вы не видите.","Genau wie jetzt können Autos von der Seite kommen, die Sie nicht sehen können."
Sg7_Carprediction_2,"그래서 골목이나 안보이는 곳에서 나서기 전엔,꼭 한 번 더 확인해야 해.","So before you go out into an alley or somewhere out of sight, you should definitely check once more.",したがって、路地や人目につかない場所に出かける前に、必ずもう一度確認してください。,因此，在你走进小巷或某个看不见的地方之前，你一定要再检查一次。,"Alors, avant de sortir dans une ruelle ou dans un endroit hors de vue, vous devriez absolument vérifier une fois de plus.","इसलिए इससे पहले कि आप किसी गली में या कहीं दूर जाएं, आपको एक बार और जांच अवश्य कर लेनी चाहिए।","Поэтому прежде чем идти в переулок или куда-то, где вас никто не видит, обязательно проверьте еще раз.","Bevor Sie also in eine Gasse oder an einen uneinsehbaren Ort gehen, sollten Sie unbedingt noch einmal nachsehen."
Sg7_Carprediction_3,"이렇게 벽이나 차에 가려진 곳에선,차가 와도 우리가 미리 볼 수가 없어.","In places like this where we are blocked by walls or cars, we can't see a car coming in advance.",このように壁や車に遮られている場所では、事前に車が来るのを見ることができません。,在这种被墙壁或汽车挡住的地方，我们无法提前看到有车过来。,"Dans des endroits comme celui-ci où nous sommes bloqués par des murs ou des voitures, nous ne pouvons pas voir une voiture arriver à l'avance.","ऐसे स्थानों पर जहां हम दीवारों या कारों से अवरुद्ध होते हैं, हम आगे से आती हुई कार को नहीं देख पाते।","В таких местах, где нас блокируют стены или машины, мы не можем увидеть приближающуюся машину заранее.","An Orten wie diesen, wo wir durch Mauern oder Autos blockiert sind, können wir ein kommendes Auto nicht im Voraus sehen."
Sg7_Carprediction_4,"혹시 차를 인식 하더라도,‘지금은 괜찮겠지’ 하고 그냥 움직이면 더 위험해질 수 있어.","Even if you recognize the car, if you think, ‘It’s okay now,’ and just move on, it can be more dangerous.",たとえ車に見覚えがあっても、「もう大丈夫」と思ってそのまま進んでしまうと、かえって危険になることがあります。,即使你认出了那辆车，但如果你以为‘现在没事了’然后就继续前行，那就更加危险了。,"Même si vous reconnaissez la voiture, si vous pensez : « C’est bon maintenant » et que vous continuez, cela peut être plus dangereux.","भले ही आप कार को पहचान लें, लेकिन अगर आप सोचेंगे कि ‘अब सब ठीक है’ और आगे बढ़ जाएंगे, तो यह अधिक खतरनाक हो सकता है।","Даже если вы узнали машину, но думаете: «Теперь все в порядке» и просто едете дальше, это может быть опаснее.","Selbst wenn Sie das Auto erkennen, kann es gefährlicher sein, wenn Sie denken: „Jetzt ist alles in Ordnung“ und einfach weiterfahren."
Sg7_Carprediction_5,"그래서 차가 나를 못 봐도,내가 먼저 보는 습관을 가지면 훨씬 더 안전해져.","So, if I get into the habit of looking at cars first, even if they can't see me, I'll be much safer.",ですから、車が私を見ることができなくても、まず車を確認する習慣をつければ、ずっと安全になります。,所以，如果我养成先看车的习惯，即使他们看不到我，我也会更安全。,"Donc, si je prends l’habitude de regarder d’abord les voitures, même si elles ne peuvent pas me voir, je serai beaucoup plus en sécurité.","इसलिए, अगर मैं पहले कारों को देखने की आदत डाल लूं, भले ही वे मुझे न देख पाएं, तो मैं ज्यादा सुरक्षित रहूंगा।","Поэтому, если я возьму в привычку сначала смотреть на машины, даже если они меня не видят, я буду в гораздо большей безопасности.","Wenn ich mir also angewöhne, zuerst auf die Autos zu schauen, auch wenn sie mich nicht sehen können, bin ich viel sicherer."
Sg7_Carprediction_6,"어라,저 친구… 주변을 안 보고 그냥 가고 있어.","Hey, that guy… He’s just walking without looking around.",なあ、あの人……振り返らずに歩いてるよ。,喂，那家伙……走路都不看周围。,"Hé, ce type… Il marche sans regarder autour de lui.","अरे, वह आदमी... वह बिना इधर-उधर देखे बस चल रहा है।","Эй, этот парень... Он просто идет, не оглядываясь.","Hey, dieser Typ … Er läuft einfach herum, ohne sich umzuschauen."
